01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2009,Belmonte,Município,Homens,,,, euros,793.7
2009,Belmonte,Município,Mulheres,,,, euros,557.1
2009,Belmonte,Município,Total,,,, euros,662.6
2009,Benavente,Município,Homens,,,, euros,872.1
2009,Benavente,Município,Mulheres,,,, euros,671.1
2009,Benavente,Município,Total,,,, euros,789.5
2009,Bombarral,Município,Homens,,,, euros,740.6
2009,Bombarral,Município,Mulheres,,,, euros,611.2
2009,Bombarral,Município,Total,,,, euros,685.5
2009,Borba,Município,Homens,,,, euros,756.5
2009,Borba,Município,Mulheres,,,, euros,637.5
2009,Borba,Município,Total,,,, euros,707.3
2009,Boticas,Município,Homens,,,, euros,641.7
2009,Boticas,Município,Mulheres,,,, euros,578.2
2009,Boticas,Município,Total,,,, euros,610.6
2009,Braga,Município,Homens,,,, euros,833.6
2009,Braga,Município,Mulheres,,,, euros,677.0
2009,Braga,Município,Total,,,, euros,769.8
2009,Bragança,Município,Homens,,,, euros,716.2
2009,Bragança,Município,Mulheres,,,, euros,650.6
2009,Bragança,Município,Total,,,, euros,686.1
2009,Cabeceiras de Basto,Município,Homens,,,, euros,622.4
2009,Cabeceiras de Basto,Município,Mulheres,,,, euros,611.4
2009,Cabeceiras de Basto,Município,Total,,,, euros,617.9
2009,Cadaval,Município,Homens,,,, euros,732.3
2009,Cadaval,Município,Mulheres,,,, euros,618.9
2009,Cadaval,Município,Total,,,, euros,678.5
2009,Caldas da Rainha,Município,Homens,,,, euros,783.1
2009,Caldas da Rainha,Município,Mulheres,,,, euros,674.5
2009,Caldas da Rainha,Município,Total,,,, euros,730.4
2009,Calheta [R.A.A.],Município,Homens,,,, euros,720.6
2009,Calheta [R.A.A.],Município,Mulheres,,,, euros,612.0
2009,Calheta [R.A.A.],Município,Total,,,, euros,661.0
2009,Calheta [R.A.M.],Município,Homens,,,, euros,832.0
2009,Calheta [R.A.M.],Município,Mulheres,,,, euros,677.3
2009,Calheta [R.A.M.],Município,Total,,,, euros,775.8
2009,Câmara de Lobos,Município,Homens,,,, euros,781.8
2009,Câmara de Lobos,Município,Mulheres,,,, euros,655.6
2009,Câmara de Lobos,Município,Total,,,, euros,746.4
2009,Caminha,Município,Homens,,,, euros,771.4
2009,Caminha,Município,Mulheres,,,, euros,689.1
2009,Caminha,Município,Total,,,, euros,734.3
2009,Campo Maior,Município,Homens,,,, euros,1081.3
2009,Campo Maior,Município,Mulheres,,,, euros,746.0
2009,Campo Maior,Município,Total,,,, euros,935.1
2009,Cantanhede,Município,Homens,,,, euros,825.4
2009,Cantanhede,Município,Mulheres,,,, euros,670.0
2009,Cantanhede,Município,Total,,,, euros,760.3
2009,Carrazeda de Ansiães,Município,Homens,,,, euros,646.6
2009,Carrazeda de Ansiães,Município,Mulheres,,,, euros,575.8
2009,Carrazeda de Ansiães,Município,Total,,,, euros,614.4
2009,Carregal do Sal,Município,Homens,,,, euros,719.8
2009,Carregal do Sal,Município,Mulheres,,,, euros,580.7
2009,Carregal do Sal,Município,Total,,,, euros,651.9
2009,Cartaxo,Município,Homens,,,, euros,854.4
2009,Cartaxo,Município,Mulheres,,,, euros,676.2
2009,Cartaxo,Município,Total,,,, euros,771.2
2009,Cascais,Município,Homens,,,, euros,1005.4
2009,Cascais,Município,Mulheres,,,, euros,865.7
2009,Cascais,Município,Total,,,, euros,940.4
2009,Castanheira de Pêra,Município,Homens,,,, euros,719.1
2009,Castanheira de Pêra,Município,Mulheres,,,, euros,587.7
2009,Castanheira de Pêra,Município,Total,,,, euros,643.3
2009,Castelo Branco,Município,Homens,,,, euros,768.2
2009,Castelo Branco,Município,Mulheres,,,, euros,626.9
2009,Castelo Branco,Município,Total,,,, euros,703.5
2009,Castelo de Paiva,Município,Homens,,,, euros,690.8
2009,Castelo de Paiva,Município,Mulheres,,,, euros,598.3
2009,Castelo de Paiva,Município,Total,,,, euros,648.3
2009,Castelo de Vide,Município,Homens,,,, euros,675.9
2009,Castelo de Vide,Município,Mulheres,,,, euros,624.2
2009,Castelo de Vide,Município,Total,,,, euros,648.9
2009,Castro Daire,Município,Homens,,,, euros,634.5
2009,Castro Daire,Município,Mulheres,,,, euros,607.4
2009,Castro Daire,Município,Total,,,, euros,623.4
2009,Castro Marim,Município,Homens,,,, euros,787.3
2009,Castro Marim,Município,Mulheres,,,, euros,692.9
2009,Castro Marim,Município,Total,,,, euros,745.6
2009,Castro Verde,Município,Homens,,,, euros,961.9
2009,Castro Verde,Município,Mulheres,,,, euros,756.0
2009,Castro Verde,Município,Total,,,, euros,908.5
2009,Celorico da Beira,Município,Homens,,,, euros,673.7
2009,Celorico da Beira,Município,Mulheres,,,, euros,575.0
2009,Celorico da Beira,Município,Total,,,, euros,624.3
2009,Celorico de Basto,Município,Homens,,,, euros,569.9
2009,Celorico de Basto,Município,Mulheres,,,, euros,585.4
2009,Celorico de Basto,Município,Total,,,, euros,576.0
2009,Chamusca,Município,Homens,,,, euros,727.6
2009,Chamusca,Município,Mulheres,,,, euros,632.7
2009,Chamusca,Município,Total,,,, euros,691.1
2009,Chaves,Município,Homens,,,, euros,704.4
2009,Chaves,Município,Mulheres,,,, euros,622.5
2009,Chaves,Município,Total,,,, euros,670.3
2009,Cinfães,Município,Homens,,,, euros,622.9
2009,Cinfães,Município,Mulheres,,,, euros,563.9
2009,Cinfães,Município,Total,,,, euros,605.6
2009,Coimbra,Município,Homens,,,, euros,913.1
2009,Coimbra,Município,Mulheres,,,, euros,762.6
2009,Coimbra,Município,Total,,,, euros,843.2
2009,Condeixa-a-Nova,Município,Homens,,,, euros,767.8
2009,Condeixa-a-Nova,Município,Mulheres,,,, euros,677.4
2009,Condeixa-a-Nova,Município,Total,,,, euros,727.6
2009,Constância,Município,Homens,,,, euros,1036.8
2009,Constância,Município,Mulheres,,,, euros,666.7
2009,Constância,Município,Total,,,, euros,899.1
2009,Coruche,Município,Homens,,,, euros,806.4
2009,Coruche,Município,Mulheres,,,, euros,665.6
2009,Coruche,Município,Total,,,, euros,751.8
2009,Corvo,Município,Homens,,,, euros,719.4
2009,Corvo,Município,Mulheres,,,, euros,678.5
2009,Corvo,Município,Total,,,, euros,699.0
2009,Covilhã,Município,Homens,,,, euros,730.4
2009,Covilhã,Município,Mulheres,,,, euros,666.8
2009,Covilhã,Município,Total,,,, euros,700.5
2009,Crato,Município,Homens,,,, euros,697.0
2009,Crato,Município,Mulheres,,,, euros,564.2
2009,Crato,Município,Total,,,, euros,626.2
2009,Cuba,Município,Homens,,,, euros,725.0
2009,Cuba,Município,Mulheres,,,, euros,627.3
2009,Cuba,Município,Total,,,, euros,677.4
2009,Elvas,Município,Homens,,,, euros,693.9
2009,Elvas,Município,Mulheres,,,, euros,626.6
2009,Elvas,Município,Total,,,, euros,666.7
2009,Entroncamento,Município,Homens,,,, euros,931.4
2009,Entroncamento,Município,Mulheres,,,, euros,696.1
2009,Entroncamento,Município,Total,,,, euros,831.8
2009,Espinho,Município,Homens,,,, euros,758.0
2009,Espinho,Município,Mulheres,,,, euros,648.5
2009,Espinho,Município,Total,,,, euros,702.9
2009,Esposende,Município,Homens,,,, euros,687.8
2009,Esposende,Município,Mulheres,,,, euros,590.6
2009,Esposende,Município,Total,,,, euros,644.0
2009,Estarreja,Município,Homens,,,, euros,891.6
2009,Estarreja,Município,Mulheres,,,, euros,691.2
2009,Estarreja,Município,Total,,,, euros,826.3
2009,Estremoz,Município,Homens,,,, euros,768.0
2009,Estremoz,Município,Mulheres,,,, euros,635.8
2009,Estremoz,Município,Total,,,, euros,704.5
2009,Évora,Município,Homens,,,, euros,863.1
2009,Évora,Município,Mulheres,,,, euros,703.7
2009,Évora,Município,Total,,,, euros,792.9
2009,Fafe,Município,Homens,,,, euros,615.5
2009,Fafe,Município,Mulheres,,,, euros,567.9
2009,Fafe,Município,Total,,,, euros,591.0
2009,Faro,Município,Homens,,,, euros,886.3
2009,Faro,Município,Mulheres,,,, euros,746.4
2009,Faro,Município,Total,,,, euros,819.7
2009,Felgueiras,Município,Homens,,,, euros,629.3
2009,Felgueiras,Município,Mulheres,,,, euros,552.5
2009,Felgueiras,Município,Total,,,, euros,594.0
2009,Ferreira do Alentejo,Município,Homens,,,, euros,730.8
2009,Ferreira do Alentejo,Município,Mulheres,,,, euros,598.6
2009,Ferreira do Alentejo,Município,Total,,,, euros,679.3
2009,Ferreira do Zêzere,Município,Homens,,,, euros,646.9
2009,Ferreira do Zêzere,Município,Mulheres,,,, euros,588.3
2009,Ferreira do Zêzere,Município,Total,,,, euros,621.2
2009,Figueira da Foz,Município,Homens,,,, euros,981.1
2009,Figueira da Foz,Município,Mulheres,,,, euros,680.4
2009,Figueira da Foz,Município,Total,,,, euros,850.2
2009,Figueira de Castelo Rodrigo,Município,Homens,,,, euros,658.9
2009,Figueira de Castelo Rodrigo,Município,Mulheres,,,, euros,590.5
2009,Figueira de Castelo Rodrigo,Município,Total,,,, euros,628.6
2009,Figueiró dos Vinhos,Município,Homens,,,, euros,637.7
2009,Figueiró dos Vinhos,Município,Mulheres,,,, euros,617.8
2009,Figueiró dos Vinhos,Município,Total,,,, euros,628.6
2009,Fornos de Algodres,Município,Homens,,,, euros,594.2
2009,Fornos de Algodres,Município,Mulheres,,,, euros,578.4
2009,Fornos de Algodres,Município,Total,,,, euros,587.5
2009,Freixo de Espada à Cinta,Município,Homens,,,, euros,621.7
2009,Freixo de Espada à Cinta,Município,Mulheres,,,, euros,557.9
2009,Freixo de Espada à Cinta,Município,Total,,,, euros,594.6
2009,Fronteira,Município,Homens,,,, euros,651.6
2009,Fronteira,Município,Mulheres,,,, euros,596.5
2009,Fronteira,Município,Total,,,, euros,625.4
